CODMUN6,CODMUN7,MUNI,UF
150780,1507805,Senador José Porfírio,PA
150790,1507904,Soure,PA
150795,1507953,Tailândia,PA
150796,1507961,Terra Alta,PA
150797,1507979,Terra Santa,PA
150800,1508001,Tomé-Açu,PA
150803,1508035,Tracuateua,PA
150805,1508050,Trairão,PA
150808,1508084,Tucumã,PA
150810,1508100,Tucuruí,PA
150812,1508126,Ulianópolis,PA
150815,1508159,Uruará,PA
150820,1508209,Vigia,PA
150830,1508308,Viseu,PA
150835,1508357,Vitória do Xingu,PA
150840,1508407,Xinguara,PA
160005,1600055,Serra do Navio,AP
160010,1600105,Amapá,AP
160015,1600154,Pedra Branca do Amapari,AP
160020,1600204,Calçoene,AP
160021,1600212,Cutias,AP
160023,1600238,Ferreira Gomes,AP
160025,1600253,Itaubal,AP
160027,1600279,Laranjal do Jari,AP
160030,1600303,Macapá,AP
160040,1600402,Mazagão,AP
160050,1600501,Oiapoque,AP
160053,1600535,Porto Grande,AP
160055,1600550,Pracuúba,AP
160060,1600600,Santana,AP
160070,1600709,Tartarugalzinho,AP
160080,1600808,Vitória do Jari,AP
170025,1700251,Abreulândia,TO
170030,1700301,Aguiarnópolis,TO
170035,1700350,Aliança do Tocantins,TO
170040,1700400,Almas,TO
170070,1700707,Alvorada,TO
170100,1701002,Ananás,TO
170105,1701051,Angico,TO
170110,1701101,Aparecida do Rio Negro,TO
170130,1701309,Aragominas,TO
170190,1701903,Araguacema,TO
170200,1702000,Araguaçu,TO
170210,1702109,Araguaína,TO
170215,1702158,Araguanã,TO
170220,1702208,Araguatins,TO
170230,1702307,Arapoema,TO
170240,1702406,Arraias,TO
170255,1702554,Augustinópolis,TO
170270,1702703,Aurora do Tocantins,TO
170290,1702901,Axixá do Tocantins,TO
170300,1703008,Babaçulândia,TO
170305,1703057,Bandeirantes do Tocantins,TO
170307,1703073,Barra do Ouro,TO
170310,1703107,Barrolândia,TO
170320,1703206,Bernardo Sayão,TO
170330,1703305,Bom Jesus do Tocantins,TO
170360,1703602,Brasilândia do Tocantins,TO
170370,1703701,Brejinho de Nazaré,TO
170380,1703800,Buriti do Tocantins,TO
170382,1703826,Cachoeirinha,TO
170384,1703842,Campos Lindos,TO
170386,1703867,Cariri do Tocantins,TO
170388,1703883,Carmolândia,TO
170389,1703891,Carrasco Bonito,TO
170390,1703909,Caseara,TO
170410,1704105,Centenário,TO
170460,1704600,Chapada de Areia,TO
170510,1705102,Chapada da Natividade,TO
170550,1705508,Colinas do Tocantins,TO
170555,1705557,Combinado,TO
170560,1705607,Conceição do Tocantins,TO
170600,1706001,Couto Magalhães,TO
170610,1706100,Cristalândia,TO
170625,1706258,Crixás do Tocantins,TO
170650,1706506,Darcinópolis,TO
170700,1707009,Dianópolis,TO
170710,1707108,Divinópolis do Tocantins,TO
170720,1707207,Dois Irmãos do Tocantins,TO
170730,1707306,Dueré,TO
170740,1707405,Esperantina,TO
170755,1707553,Fátima,TO
170765,1707652,Figueirópolis,TO
170770,1707702,Filadélfia,TO
170820,1708205,Formoso do Araguaia,TO
170825,1708254,Fortaleza do Tabocão,TO
170830,1708304,Goianorte,TO
170900,1709005,Goiatins,TO
170930,1709302,Guaraí,TO
170950,1709500,Gurupi,TO
170980,1709807,Ipueiras,TO
171050,1710508,Itacajá,TO
171070,1710706,Itaguatins,TO
171090,1710904,Itapiratins,TO
171110,1711100,Itaporã do Tocantins,TO
171150,1711506,Jaú do Tocantins,TO
171180,1711803,Juarina,TO
171190,1711902,Lagoa da Confusão,TO
171195,1711951,Lagoa do Tocantins,TO
171200,1712009,Lajeado,TO
171215,1712157,Lavandeira,TO
171240,1712405,Lizarda,TO
171245,1712454,Luzinópolis,TO
171250,1712504,Marianópolis do Tocantins,TO
171270,1712702,Mateiros,TO
171280,1712801,Maurilândia do Tocantins,TO
171320,1713205,Miracema do Tocantins,TO
171330,1713304,Miranorte,TO
171360,1713601,Monte do Carmo,TO
171370,1713700,Monte Santo do Tocantins,TO
171380,1713809,Palmeiras do Tocantins,TO
171395,1713957,Muricilândia,TO
171420,1714203,Natividade,TO
171430,1714302,Nazaré,TO
171488,1714880,Nova Olinda,TO
171500,1715002,Nova Rosalândia,TO
171510,1715101,Novo Acordo,TO
171515,1715150,Novo Alegre,TO
171525,1715259,Novo Jardim,TO
171550,1715507,Oliveira de Fátima,TO
171570,1715705,Palmeirante,TO
171575,1715754,Palmeirópolis,TO
171610,1716109,Paraíso do Tocantins,TO
171620,1716208,Paranã,TO
171630,1716307,Pau D'Arco,TO
171650,1716505,Pedro Afonso,TO
171660,1716604,Peixe,TO
171665,1716653,Pequizeiro,TO
171670,1716703,Colméia,TO
171700,1717008,Pindorama do Tocantins,TO
171720,1717206,Piraquê,TO
171750,1717503,Pium,TO
171780,1717800,Ponte Alta do Bom Jesus,TO
171790,1717909,Ponte Alta do Tocantins,TO
171800,1718006,Porto Alegre do Tocantins,TO
171820,1718204,Porto Nacional,TO
171830,1718303,Praia Norte,TO
171840,1718402,Presidente Kennedy,TO
171845,1718451,Pugmil,TO
171850,1718501,Recursolândia,TO
171855,1718550,Riachinho,TO
171865,1718659,Rio da Conceição,TO
171870,1718709,Rio dos Bois,TO
171875,1718758,Rio Sono,TO
171880,1718808,Sampaio,TO
171884,1718840,Sandolândia,TO
171886,1718865,Santa Fé do Araguaia,TO
171888,1718881,Santa Maria do Tocantins,TO
171889,1718899,Santa Rita do Tocantins,TO
171890,1718907,Santa Rosa do Tocantins,TO
171900,1719004,Santa Tereza do Tocantins,TO
172000,1720002,Santa Terezinha do Tocantins,TO
172010,1720101,São Bento do Tocantins,TO
172015,1720150,São Félix do Tocantins,TO
172020,1720200,São Miguel do Tocantins,TO
172025,1720259,São Salvador do Tocantins,TO
172030,1720309,São Sebastião do Tocantins,TO
172049,1720499,São Valério,TO
172065,1720655,Silvanópolis,TO
172080,1720804,Sítio Novo do Tocantins,TO
172085,1720853,Sucupira,TO
172090,1720903,Taguatinga,TO
172093,1720937,Taipas do Tocantins,TO
172097,1720978,Talismã,TO
172100,1721000,Palmas,TO
172110,1721109,Tocantínia,TO
172120,1721208,Tocantinópolis,TO
172125,1721257,Tupirama,TO
172130,1721307,Tupiratins,TO
172208,1722081,Wanderlândia,TO
172210,1722107,Xambioá,TO
210005,2100055,Açailândia,MA
210010,2100105,Afonso Cunha,MA
210015,2100154,Água Doce do Maranhão,MA
210020,2100204,Alcântara,MA
210030,2100303,Aldeias Altas,MA
210040,2100402,Altamira do Maranhão,MA
210043,2100436,Alto Alegre do Maranhão,MA
210047,2100477,Alto Alegre do Pindaré,MA
210050,2100501,Alto Parnaíba,MA
210055,2100550,Amapá do Maranhão,MA
210060,2100600,Amarante do Maranhão,MA
210070,2100709,Anajatuba,MA
210080,2100808,Anapurus,MA
210083,2100832,Apicum-Açu,MA
210087,2100873,Araguanã,MA
210090,2100907,Araioses,MA
210095,2100956,Arame,MA
210100,2101004,Arari,MA
210110,2101103,Axixá,MA
210120,2101202,Bacabal,MA
210125,2101251,Bacabeira,MA
210130,2101301,Bacuri,MA
210135,2101350,Bacurituba,MA
210140,2101400,Balsas,MA
210150,2101509,Barão de Grajaú,MA
210160,2101608,Barra do Corda,MA
210170,2101707,Barreirinhas,MA
210173,2101731,Belágua,MA
210177,2101772,Bela Vista do Maranhão,MA
210180,2101806,Benedito Leite,MA
210190,2101905,Bequimão,MA
210193,2101939,Bernardo do Mearim,MA
210197,2101970,Boa Vista do Gurupi,MA
210200,2102002,Bom Jardim,MA
210203,2102036,Bom Jesus das Selvas,MA
210207,2102077,Bom Lugar,MA
210210,2102101,Brejo,MA
210215,2102150,Brejo de Areia,MA
210220,2102200,Buriti,MA
210230,2102309,Buriti Bravo,MA
210232,2102325,Buriticupu,MA
210235,2102358,Buritirana,MA
210237,2102374,Cachoeira Grande,MA
210240,2102408,Cajapió,MA
210250,2102507,Cajari,MA
210255,2102556,Campestre do Maranhão,MA
210260,2102606,Cândido Mendes,MA
210270,2102705,Cantanhede,MA
210275,2102754,Capinzal do Norte,MA
210280,2102804,Carolina,MA
210290,2102903,Carutapera,MA
210300,2103000,Caxias,MA
210310,2103109,Cedral,MA
210312,2103125,Central do Maranhão,MA
210315,2103158,Centro do Guilherme,MA
210317,2103174,Centro Novo do Maranhão,MA
210320,2103208,Chapadinha,MA
210325,2103257,Cidelândia,MA
210330,2103307,Codó,MA
210340,2103406,Coelho Neto,MA
210350,2103505,Colinas,MA
210355,2103554,Conceição do Lago-Açu,MA
210360,2103604,Coroatá,MA
210370,2103703,Cururupu,MA
210375,2103752,Davinópolis,MA
210380,2103802,Dom Pedro,MA
210390,2103901,Duque Bacelar,MA
210400,2104008,Esperantinópolis,MA
210405,2104057,Estreito,MA
210407,2104073,Feira Nova do Maranhão,MA
210408,2104081,Fernando Falcão,MA
210409,2104099,Formosa da Serra Negra,MA
210410,2104107,Fortaleza dos Nogueiras,MA
210420,2104206,Fortuna,MA
210430,2104305,Godofredo Viana,MA
210440,2104404,Gonçalves Dias,MA
210450,2104503,Governador Archer,MA
210455,2104552,Governador Edison Lobão,MA
210460,2104602,Governador Eugênio Barros,MA
210462,2104628,Governador Luiz Rocha,MA
210465,2104651,Governador Newton Bello,MA
210467,2104677,Governador Nunes Freire,MA
210470,2104701,Graça Aranha,MA
210480,2104800,Grajaú,MA
210490,2104909,Guimarães,MA
210500,2105005,Humberto de Campos,MA
210510,2105104,Icatu,MA
210515,2105153,Igarapé do Meio,MA
210520,2105203,Igarapé Grande,MA
210530,2105302,Imperatriz,MA
210535,2105351,Itaipava do Grajaú,MA
210540,2105401,Itapecuru Mirim,MA
210542,2105427,Itinga do Maranhão,MA
210545,2105450,Jatobá,MA
210547,2105476,Jenipapo dos Vieiras,MA
210550,2105500,João Lisboa,MA
210560,2105609,Joselândia,MA
210565,2105658,Junco do Maranhão,MA
210570,2105708,Lago da Pedra,MA
210580,2105807,Lago do Junco,MA
210590,2105906,Lago Verde,MA
210592,2105922,Lagoa do Mato,MA
210594,2105948,Lago dos Rodrigues,MA
210596,2105963,Lagoa Grande do Maranhão,MA
210598,2105989,Lajeado Novo,MA
210600,2106003,Lima Campos,MA
210610,2106102,Loreto,MA
210620,2106201,Luís Domingues,MA
210630,2106300,Magalhães de Almeida,MA
210632,2106326,Maracaçumé,MA
210635,2106359,Marajá do Sena,MA
210637,2106375,Maranhãozinho,MA
210640,2106409,Mata Roma,MA
210650,2106508,Matinha,MA
210660,2106607,Matões,MA
210663,2106631,Matões do Norte,MA
210667,2106672,Milagres do Maranhão,MA
210670,2106706,Mirador,MA
210675,2106755,Miranda do Norte,MA
210680,2106805,Mirinzal,MA
210690,2106904,Monção,MA
210700,2107001,Montes Altos,MA
210710,2107100,Morros,MA
210720,2107209,Nina Rodrigues,MA
210725,2107258,Nova Colinas,MA
210730,2107308,Nova Iorque,MA
210735,2107357,Nova Olinda do Maranhão,MA
210740,2107407,Olho d'Água das Cunhãs,MA
210745,2107456,Olinda Nova do Maranhão,MA
210750,2107506,Paço do Lumiar,MA
210760,2107605,Palmeirândia,MA
210770,2107704,Paraibano,MA
210780,2107803,Parnarama,MA
210790,2107902,Passagem Franca,MA
210800,2108009,Pastos Bons,MA
210805,2108058,Paulino Neves,MA
210810,2108108,Paulo Ramos,MA
210820,2108207,Pedreiras,MA
210825,2108256,Pedro do Rosário,MA
210830,2108306,Penalva,MA
210840,2108405,Peri Mirim,MA
210845,2108454,Peritoró,MA
210850,2108504,Pindaré-Mirim,MA
210860,2108603,Pinheiro,MA
210870,2108702,Pio XII,MA
210880,2108801,Pirapemas,MA
210890,2108900,Poção de Pedras,MA
210900,2109007,Porto Franco,MA
210905,2109056,Porto Rico do Maranhão,MA
210910,2109106,Presidente Dutra,MA
210920,2109205,Presidente Juscelino,MA
210923,2109239,Presidente Médici,MA
210927,2109270,Presidente Sarney,MA
210930,2109304,Presidente Vargas,MA
210940,2109403,Primeira Cruz,MA
210945,2109452,Raposa,MA
210950,2109502,Riachão,MA
210955,2109551,Ribamar Fiquene,MA
210960,2109601,Rosário,MA
210970,2109700,Sambaíba,MA
210975,2109759,Santa Filomena do Maranhão,MA
210980,2109809,Santa Helena,MA
210990,2109908,Santa Inês,MA
211000,2110005,Santa Luzia,MA
211003,2110039,Santa Luzia do Paruá,MA
211010,2110104,Santa Quitéria do Maranhão,MA
211020,2110203,Santa Rita,MA
211023,2110237,Santana do Maranhão,MA
211027,2110278,Santo Amaro do Maranhão,MA
211030,2110302,Santo Antônio dos Lopes,MA
211040,2110401,São Benedito do Rio Preto,MA
211050,2110500,São Bento,MA
211060,2110609,São Bernardo,MA
211065,2110658,São Domingos do Azeitão,MA
211070,2110708,São Domingos do Maranhão,MA
211080,2110807,São Félix de Balsas,MA
211085,2110856,São Francisco do Brejão,MA
211090,2110906,São Francisco do Maranhão,MA
211100,2111003,São João Batista,MA
211102,2111029,São João do Carú,MA
211105,2111052,São João do Paraíso,MA
211107,2111078,São João do Soter,MA
211110,2111102,São João dos Patos,MA
211120,2111201,São José de Ribamar,MA
211125,2111250,São José dos Basílios,MA
211130,2111300,São Luís,MA
211140,2111409,São Luís Gonzaga do Maranhão,MA
211150,2111508,São Mateus do Maranhão,MA
211153,2111532,São Pedro da Água Branca,MA
211157,2111573,São Pedro dos Crentes,MA
211160,2111607,São Raimundo das Mangabeiras,MA
211163,2111631,São Raimundo do Doca Bezerra,MA
211167,2111672,São Roberto,MA
211170,2111706,São Vicente Ferrer,MA
211172,2111722,Satubinha,MA
211174,2111748,Senador Alexandre Costa,MA
211176,2111763,Senador La Rocque,MA
211178,2111789,Serrano do Maranhão,MA
211180,2111805,Sítio Novo,MA
211190,2111904,Sucupira do Norte,MA
211195,2111953,Sucupira do Riachão,MA
211200,2112001,Tasso Fragoso,MA
211210,2112100,Timbiras,MA
211220,2112209,Timon,MA
211223,2112233,Trizidela do Vale,MA
211227,2112274,Tufilândia,MA
211230,2112308,Tuntum,MA
211240,2112407,Turiaçu,MA
211245,2112456,Turilândia,MA
211250,2112506,Tutóia,MA
211260,2112605,Urbano Santos,MA
211270,2112704,Vargem Grande,MA
211280,2112803,Viana,MA
211285,2112852,Vila Nova dos Martírios,MA
211290,2112902,Vitória do Mearim,MA
211300,2113009,Vitorino Freire,MA
211400,2114007,Zé Doca,MA
220005,2200053,Acauã,PI
220010,2200103,Agricolândia,PI
220020,2200202,Água Branca,PI
220025,2200251,Alagoinha do Piauí,PI
220027,2200277,Alegrete do Piauí,PI
220030,2200301,Alto Longá,PI
220040,2200400,Altos,PI
220045,2200459,Alvorada do Gurguéia,PI
220050,2200509,Amarante,PI
220060,2200608,Angical do Piauí,PI
220070,2200707,Anísio de Abreu,PI
220080,2200806,Antônio Almeida,PI
220090,2200905,Aroazes,PI
220095,2200954,Aroeiras do Itaim,PI
220100,2201002,Arraial,PI
220105,2201051,Assunção do Piauí,PI
220110,2201101,Avelino Lopes,PI
220115,2201150,Baixa Grande do Ribeiro,PI
220117,2201176,Barra D'Alcântara,PI
220120,2201200,Barras,PI
220130,2201309,Barreiras do Piauí,PI
220140,2201408,Barro Duro,PI
220150,2201507,Batalha,PI
220155,2201556,Bela Vista do Piauí,PI
220157,2201572,Belém do Piauí,PI
220160,2201606,Beneditinos,PI
220170,2201705,Bertolínia,PI
220173,2201739,Betânia do Piauí,PI
220177,2201770,Boa Hora,PI
220180,2201804,Bocaina,PI
220190,2201903,Bom Jesus,PI
220191,2201919,Bom Princípio do Piauí,PI
220192,2201929,Bonfim do Piauí,PI
220194,2201945,Boqueirão do Piauí,PI
220196,2201960,Brasileira,PI
220198,2201988,Brejo do Piauí,PI
220200,2202000,Buriti dos Lopes,PI
220202,2202026,Buriti dos Montes,PI
220205,2202059,Cabeceiras do Piauí,PI
220207,2202075,Cajazeiras do Piauí,PI
220208,2202083,Cajueiro da Praia,PI
220209,2202091,Caldeirão Grande do Piauí,PI
220210,2202109,Campinas do Piauí,PI
220211,2202117,Campo Alegre do Fidalgo,PI
220213,2202133,Campo Grande do Piauí,PI
220217,2202174,Campo Largo do Piauí,PI
220220,2202208,Campo Maior,PI
220225,2202251,Canavieira,PI
220230,2202307,Canto do Buriti,PI
220240,2202406,Capitão de Campos,PI
220245,2202455,Capitão Gervásio Oliveira,PI
220250,2202505,Caracol,PI
220253,2202539,Caraúbas do Piauí,PI
220255,2202554,Caridade do Piauí,PI
220260,2202604,Castelo do Piauí,PI
220265,2202653,Caxingó,PI
220270,2202703,Cocal,PI
220271,2202711,Cocal de Telha,PI
220272,2202729,Cocal dos Alves,PI
220273,2202737,Coivaras,PI
220275,2202752,Colônia do Gurguéia,PI
220277,2202778,Colônia do Piauí,PI
220280,2202802,Conceição do Canindé,PI
220285,2202851,Coronel José Dias,PI
220290,2202901,Corrente,PI
220300,2203008,Cristalândia do Piauí,PI
220310,2203107,Cristino Castro,PI
220320,2203206,Curimatá,PI
220323,2203230,Currais,PI
220325,2203255,Curralinhos,PI
220327,2203271,Curral Novo do Piauí,PI
220330,2203305,Demerval Lobão,PI
220335,2203354,Dirceu Arcoverde,PI
220340,2203404,Dom Expedito Lopes,PI
220342,2203420,Domingos Mourão,PI
220345,2203453,Dom Inocêncio,PI
220350,2203503,Elesbão Veloso,PI
220360,2203602,Eliseu Martins,PI
220370,2203701,Esperantina,PI
220375,2203750,Fartura do Piauí,PI
220380,2203800,Flores do Piauí,PI
220385,2203859,Floresta do Piauí,PI
220390,2203909,Floriano,PI
220400,2204006,Francinópolis,PI
220410,2204105,Francisco Ayres,PI
220415,2204154,Francisco Macedo,PI
220420,2204204,Francisco Santos,PI
220430,2204303,Fronteiras,PI
220435,2204352,Geminiano,PI
220440,2204402,Gilbués,PI
220450,2204501,Guadalupe,PI
220455,2204550,Guaribas,PI
220460,2204600,Hugo Napoleão,PI
